,0,1,2,3,4,5,6,7,8
787,788,79.0,-35.0,-0.00037185,-0.00032923,-0.0004547,0.0,0.0,0.0
788,789,79.0,-33.0,-0.00041425,-0.00029149,-0.00045711,0.0,0.0,0.0
789,790,79.0,-31.0,-0.00045484,-0.00025535,-0.00045609,0.0,0.0,0.0
790,791,79.0,-29.0,-0.00049332,-0.0002211,-0.00045214,0.0,0.0,0.0
791,792,79.0,-27.0,-0.00052948,-0.00018895,-0.00044575,0.0,0.0,0.0
792,793,79.0,-25.0,-0.0005632,-0.00015902,-0.00043744,0.0,0.0,0.0
793,794,79.0,-23.0,-0.00059445,-0.00013133,-0.00042776,0.0,0.0,0.0
794,795,79.0,-21.0,-0.00062327,-0.00010583,-0.00041721,0.0,0.0,0.0
813,814,81.0,-63.0,2.373e-05,-0.00057836,0.00011306,0.0,0.0,0.0
814,815,81.0,-61.0,2.835e-05,-0.00058954,6.555e-05,0.0,0.0,0.0
815,816,81.0,-59.0,2.76e-05,-0.00059516,1.825e-05,0.0,0.0,0.0
816,817,81.0,-57.0,2.172e-05,-0.00059543,-2.819e-05,0.0,0.0,0.0
817,818,81.0,-55.0,1.099e-05,-0.00059065,-7.32e-05,0.0,0.0,0.0
818,819,81.0,-53.0,-4.22e-06,-0.00058117,-0.00011627,0.0,0.0,0.0
819,820,81.0,-51.0,-2.35e-05,-0.00056738,-0.00015694,0.0,0.0,0.0
820,821,81.0,-49.0,-4.641e-05,-0.00054974,-0.00019486,0.0,0.0,0.0
821,822,81.0,-47.0,-7.246e-05,-0.00052871,-0.00022972,0.0,0.0,0.0
822,823,81.0,-45.0,-0.00010117,-0.00050478,-0.00026133,0.0,0.0,0.0
823,824,81.0,-43.0,-0.00013205,-0.00047843,-0.00028953,0.0,0.0,0.0
824,825,81.0,-41.0,-0.00016462,-0.00045016,-0.00031426,0.0,0.0,0.0
825,826,81.0,-39.0,-0.00019842,-0.00042041,-0.00033553,0.0,0.0,0.0
826,827,81.0,-37.0,-0.00023301,-0.00038961,-0.00035341,0.0,0.0,0.0
827,828,81.0,-35.0,-0.00026799,-0.00035817,-0.000368,0.0,0.0,0.0
828,829,81.0,-33.0,-0.00030302,-0.00032643,-0.0003795,0.0,0.0,0.0
829,830,81.0,-31.0,-0.00033776,-0.0002947,-0.00038809,0.0,0.0,0.0
830,831,81.0,-29.0,-0.00037199,-0.00026323,-0.00039402,0.0,0.0,0.0
831,832,81.0,-27.0,-0.00040549,-0.00023221,-0.00039754,0.0,0.0,0.0
832,833,81.0,-25.0,-0.00043812,-0.00020176,-0.00039893,0.0,0.0,0.0
833,834,81.0,-23.0,-0.0004698,-0.00017198,-0.00039846,0.0,0.0,0.0
834,835,81.0,-21.0,-0.00050052,-0.00014287,-0.00039641,0.0,0.0,0.0
835,836,81.0,-19.0,-0.00053031,-0.00011443,-0.00039274,0.0,0.0,0.0
836,837,81.0,-17.0,-0.00055893,-8.663e-05,-0.00038782,0.0,0.0,0.0
837,838,81.0,-15.0,-0.0005871,-5.939e-05,-0.00038956,0.0,0.0,0.0
863,864,83.0,-43.0,-8.636e-05,-0.00044838,-0.00019683,0.0,0.0,0.0
864,865,83.0,-41.0,-0.00010827,-0.00042918,-0.00022319,0.0,0.0,0.0
865,866,83.0,-39.0,-0.00013205,-0.00040788,-0.00024729,0.0,0.0,0.0
866,867,83.0,-37.0,-0.00015742,-0.00038477,-0.00026905,0.0,0.0,0.0
867,868,83.0,-35.0,-0.00018413,-0.00036008,-0.00028844,0.0,0.0,0.0
868,869,83.0,-33.0,-0.00021193,-0.00033408,-0.00030543,0.0,0.0,0.0
869,870,83.0,-31.0,-0.0002406,-0.00030697,-0.00032006,0.0,0.0,0.0
870,871,83.0,-29.0,-0.00026992,-0.00027896,-0.00033236,0.0,0.0,0.0
871,872,83.0,-27.0,-0.00029971,-0.00025023,-0.0003424,0.0,0.0,0.0
872,873,83.0,-25.0,-0.00032983,-0.00022095,-0.00035027,0.0,0.0,0.0
